Den,Hodina,Marginální cena ČR (Kč/MWh)
2021-01-01,1,1195.197
2021-01-01,2,1091.53
2021-01-01,3,1051.112
2021-01-01,4,968.441
2021-01-01,5,904.665
2021-01-01,6,861.361
2021-01-01,7,805.984
2021-01-01,8,393.675
2021-01-01,9,221.245
2021-01-01,10,687.619
2021-01-01,11,830.392
2021-01-01,12,1112.788
2021-01-01,13,1151.631
2021-01-01,14,1183.65
2021-01-01,15,1128.797
2021-01-01,16,1163.178
2021-01-01,17,1294.666
2021-01-01,18,1438.488
2021-01-01,19,1443.475
2021-01-01,20,1443.475
2021-01-01,21,1436.651
2021-01-01,22,1351.618
2021-01-01,23,1345.056
2021-01-01,24,1229.053
2021-01-02,1,1157.405
2021-01-02,2,1011.482
2021-01-02,3,999.41
2021-01-02,4,973.69
2021-01-02,5,967.916
2021-01-02,6,976.314
2021-01-02,7,1064.497
2021-01-02,8,1186.274
2021-01-02,9,1303.589
2021-01-02,10,1454.76
2021-01-02,11,1504.626
2021-01-02,12,1506.463
2021-01-02,13,1493.341
2021-01-02,14,1451.349
2021-01-02,15,1443.475
2021-01-02,16,1478.118
2021-01-02,17,1656.06
2021-01-02,18,1721.147
2021-01-02,19,1711.699
2021-01-02,20,1633.751
2021-01-02,21,1520.11
2021-01-02,22,1397.546
2021-01-02,23,1385.211
2021-01-02,24,1261.86
2021-01-03,1,1023.817
2021-01-03,2,1013.319
2021-01-03,3,931.698
2021-01-03,4,892.33
2021-01-03,5,931.698
2021-01-03,6,887.868
2021-01-03,7,815.432
2021-01-03,8,905.453
2021-01-03,9,984.188
2021-01-03,10,1023.817
2021-01-03,11,1081.294
2021-01-03,12,1141.92
2021-01-03,13,1129.585
2021-01-03,14,1111.213
2021-01-03,15,1125.911
2021-01-03,16,1125.911
2021-01-03,17,1280.231
2021-01-03,18,1325.897
2021-01-03,19,1350.043
2021-01-03,20,1322.223
2021-01-03,21,1234.565
2021-01-03,22,1125.911
2021-01-03,23,1049.8
2021-01-03,24,819.106
2021-01-04,1,735.58
2021-01-04,2,711.008
2021-01-04,3,674.412
2021-01-04,4,605.664
2021-01-04,5,703.95
2021-01-04,6,810.34
2021-01-04,7,1129.248
2021-01-04,8,1391.955
2021-01-04,9,1522.655
2021-01-04,10,1503.05
2021-01-04,11,1524.223
2021-01-04,12,1542.26
2021-01-04,13,1594.54
2021-01-04,14,1588.528
2021-01-04,15,1555.33
2021-01-04,16,1550.102
2021-01-04,17,1649.434
2021-01-04,18,1666.425
2021-01-04,19,1628.522
2021-01-04,20,1567.354
2021-01-04,21,1581.47
2021-01-04,22,1361.894
2021-01-04,23,1269.62
2021-01-04,24,1147.546
2021-01-05,1,982.913
2021-01-05,2,945.149
2021-01-05,3,896.895
2021-01-05,4,834.217
2021-01-05,5,858.869
2021-01-05,6,980.815
2021-01-05,7,1228.904
2021-01-05,8,1508.987
2021-01-05,9,1637.227
2021-01-05,10,1689.415
2021-01-05,11,1682.334
2021-01-05,12,1678.138
2021-01-05,13,1683.645
2021-01-05,14,1669.221
2021-01-05,15,1625.95
2021-01-05,16,1630.671
2021-01-05,17,1699.642
2021-01-05,18,1759.698
