Den,Hodina,Marginální cena ČR (Kč/MWh)
2023-01-01,1,116.717
2023-01-01,2,-8.44
2023-01-01,3,-23.392
2023-01-01,4,-46.542
2023-01-01,5,-74.033
2023-01-01,6,-44.854
2023-01-01,7,-82.956
2023-01-01,8,-11.334
2023-01-01,9,-7.234
2023-01-01,10,6.27
2023-01-01,11,16.639
2023-01-01,12,28.215
2023-01-01,13,32.314
2023-01-01,14,36.896
2023-01-01,15,139.385
2023-01-01,16,572.008
2023-01-01,17,881.162
2023-01-01,18,1110.013
2023-01-01,19,1301.969
2023-01-01,20,1325.119
2023-01-01,21,1185.493
2023-01-01,22,1074.564
2023-01-01,23,1108.325
2023-01-01,24,844.025
2023-01-02,1,1523.509
2023-01-02,2,1355.734
2023-01-02,3,1279.583
2023-01-02,4,1073.128
2023-01-02,5,1210.684
2023-01-02,6,1725.128
2023-01-02,7,2540.309
2023-01-02,8,3399.972
2023-01-02,9,3538.978
2023-01-02,10,3574.757
2023-01-02,11,3520.122
2023-01-02,12,3465.486
2023-01-02,13,3490.387
2023-01-02,14,3475.398
2023-01-02,15,3582.735
2023-01-02,16,3755.345
2023-01-02,17,3935.448
2023-01-02,18,4120.629
2023-01-02,19,4224.34
2023-01-02,20,3979.205
2023-01-02,21,3698.775
2023-01-02,22,3424.872
2023-01-02,23,3261.449
2023-01-02,24,3003.019
2023-01-03,1,3136.491
2023-01-03,2,2895.0
2023-01-03,3,2865.085
2023-01-03,4,2774.375
2023-01-03,5,2741.324
2023-01-03,6,2805.014
2023-01-03,7,3351.445
2023-01-03,8,3858.07
2023-01-03,9,4081.226
2023-01-03,10,4129.717
2023-01-03,11,4066.751
2023-01-03,12,4088.946
2023-01-03,13,3968.563
2023-01-03,14,3881.954
2023-01-03,15,3933.823
2023-01-03,16,4014.882
2023-01-03,17,4091.359
2023-01-03,18,4001.131
2023-01-03,19,4058.549
2023-01-03,20,3883.884
2023-01-03,21,3609.583
2023-01-03,22,3257.599
2023-01-03,23,2871.599
2023-01-03,24,2531.919
2023-01-04,1,2170.419
2023-01-04,2,1922.24
2023-01-04,3,1870.827
2023-01-04,4,1498.68
2023-01-04,5,1922.24
2023-01-04,6,2124.771
2023-01-04,7,2582.207
2023-01-04,8,3179.228
2023-01-04,9,3243.375
2023-01-04,10,3197.487
2023-01-04,11,3003.125
2023-01-04,12,2964.205
2023-01-04,13,3115.322
2023-01-04,14,2905.103
2023-01-04,15,2920.239
2023-01-04,16,2769.842
2023-01-04,17,2917.356
2023-01-04,18,3769.042
2023-01-04,19,3209.26
2023-01-04,20,3743.816
2023-01-04,21,3679.188
2023-01-04,22,3596.302
2023-01-04,23,3605.912
2023-01-04,24,2523.346
2023-01-05,1,2697.848
2023-01-05,2,2831.936
2023-01-05,3,2503.205
2023-01-05,4,1347.362
2023-01-05,5,2180.482
2023-01-05,6,2725.723
2023-01-05,7,2890.088
2023-01-05,8,3604.5
2023-01-05,9,3694.132
2023-01-05,10,3483.629
2023-01-05,11,3364.921
2023-01-05,12,3466.328
2023-01-05,13,3417.066
2023-01-05,14,3429.562
2023-01-05,15,3629.251
2023-01-05,16,3832.304
2023-01-05,17,4150.702
2023-01-05,18,4647.883
2023-01-05,19,4677.92
2023-01-05,20,4276.859
2023-01-05,21,3940.68
2023-01-05,22,3652.56
2023-01-05,23,3475.699
2023-01-05,24,3051.81
2023-01-06,1,2578.937
2023-01-06,2,2431.96
2023-01-06,3,2326.84
2023-01-06,4,1989.83
2023-01-06,5,2044.434
2023-01-06,6,2171.204
2023-01-06,7,2423.782
2023-01-06,8,2966.703
2023-01-06,9,3064.126
2023-01-06,10,3085.535
2023-01-06,11,3004.229
2023-01-06,12,2831.033
2023-01-06,13,2832.957
2023-01-06,14,2727.356
2023-01-06,15,3075.191
2023-01-06,16,3321.755
2023-01-06,17,3494.71
2023-01-06,18,3750.896
2023-01-06,19,3932.993
2023-01-06,20,3529.831
2023-01-06,21,3350.14
2023-01-06,22,3126.909
2023-01-06,23,3125.707
2023-01-06,24,2915.707
2023-01-07,1,2430.036
2023-01-07,2,2427.631
2023-01-07,3,2317.459
2023-01-07,4,2151.239
2023-01-07,5,2044.916
2023-01-07,6,2091.823
2023-01-07,7,2343.198
2023-01-07,8,2482.717
