Den,Hodina,Marginální cena ČR (Kč/MWh)
01.01.2012,1,567.6
01.01.2012,2,384.162
01.01.2012,3,258.774
01.01.2012,4,77.4
01.01.2012,5,2.58
01.01.2012,6,0.258
01.01.2012,7,0.258
01.01.2012,8,0.258
01.01.2012,9,2.58
01.01.2012,10,43.86
01.01.2012,11,129.258
01.01.2012,12,527.094
01.01.2012,13,464.4
01.01.2012,14,523.74
01.01.2012,15,584.37
01.01.2012,16,619.2
01.01.2012,17,751.296
01.01.2012,18,954.6
01.01.2012,19,1006.2
01.01.2012,20,972.918
01.01.2012,21,903.0
01.01.2012,22,832.308
01.01.2012,23,774.0
01.01.2012,24,587.208
02.01.2012,1,382.65
02.01.2012,2,293.365
02.01.2012,3,217.09
02.01.2012,4,168.366
02.01.2012,5,211.223
02.01.2012,6,461.731
02.01.2012,7,871.422
02.01.2012,8,1174.991
02.01.2012,9,1194.123
02.01.2012,10,1239.021
02.01.2012,11,1275.5
02.01.2012,12,1275.5
02.01.2012,13,1301.01
02.01.2012,14,1249.99
02.01.2012,15,1238.766
02.01.2012,16,1224.735
02.01.2012,17,1306.112
02.01.2012,18,1479.58
02.01.2012,19,1505.09
02.01.2012,20,1394.632
02.01.2012,21,1352.03
02.01.2012,22,1110.45
02.01.2012,23,1020.4
02.01.2012,24,867.34
03.01.2012,1,824.842
03.01.2012,2,563.676
03.01.2012,3,421.666
03.01.2012,4,352.843
03.01.2012,5,402.406
03.01.2012,6,569.326
03.01.2012,7,964.541
03.01.2012,8,1124.784
03.01.2012,9,1193.093
03.01.2012,10,1187.957
03.01.2012,11,1181.28
03.01.2012,12,1113.228
03.01.2012,13,1093.711
03.01.2012,14,1085.494
03.01.2012,15,1055.448
03.01.2012,16,1097.05
03.01.2012,17,1139.935
03.01.2012,18,1217.746
03.01.2012,19,1187.7
03.01.2012,20,1117.08
03.01.2012,21,1116.31
03.01.2012,22,945.281
03.01.2012,23,904.45
03.01.2012,24,596.033
04.01.2012,1,346.282
04.01.2012,2,167.988
04.01.2012,3,190.403
