Den,Hodina,Marginální cena ČR (Kč/MWh)
2019-01-01,1,218.663
2019-01-01,2,102.128
2019-01-01,3,120.908
2019-01-01,4,23.924
2019-01-01,5,100.328
2019-01-01,6,204.514
2019-01-01,7,300.983
2019-01-01,8,128.882
2019-01-01,9,25.982
2019-01-01,10,2.83
2019-01-01,11,380.73
2019-01-01,12,398.738
2019-01-01,13,424.463
2019-01-01,14,411.6
2019-01-01,15,502.409
2019-01-01,16,128.625
2019-01-01,17,514.5
2019-01-01,18,430.636
2019-01-01,19,569.552
2019-01-01,20,598.621
2019-01-01,21,591.675
2019-01-01,22,514.5
2019-01-01,23,463.05
2019-01-01,24,-25.468
2019-01-02,1,25.75
2019-01-02,2,-51.5
2019-01-02,3,-89.61
2019-01-02,4,-180.25
2019-01-02,5,-202.137
2019-01-02,6,276.813
2019-01-02,7,860.05
2019-01-02,8,1264.325
2019-01-02,9,1190.938
2019-01-02,10,1286.728
2019-01-02,11,1171.625
2019-01-02,12,1192.225
2019-01-02,13,1223.125
2019-01-02,14,1261.75
2019-01-02,15,1284.925
2019-01-02,16,1478.05
2019-01-02,17,1545.0
2019-01-02,18,1577.96
2019-01-02,19,1542.425
2019-01-02,20,1575.643
2019-01-02,21,1544.485
2019-01-02,22,1358.313
2019-01-02,23,1319.688
2019-01-02,24,1055.75
2019-01-03,1,1104.24
2019-01-03,2,1103.983
2019-01-03,3,1081.385
2019-01-03,4,1079.844
2019-01-03,5,1108.606
2019-01-03,6,1170.751
2019-01-03,7,1254.725
2019-01-03,8,1553.64
2019-01-03,9,1674.593
2019-01-03,10,1630.68
2019-01-03,11,1600.634
2019-01-03,12,1610.393
2019-01-03,13,1653.792
2019-01-03,14,1674.85
2019-01-03,15,1708.747
2019-01-03,16,1753.944
2019-01-03,17,1813.778
2019-01-03,18,1874.64
2019-01-03,19,1885.426
2019-01-03,20,1835.606
2019-01-03,21,1784.76
2019-01-03,22,1617.84
2019-01-03,23,1489.44
2019-01-03,24,1311.734
2019-01-04,1,1254.285
2019-01-04,2,1185.03
2019-01-04,3,1167.331
2019-01-04,4,1181.439
2019-01-04,5,1162.458
2019-01-04,6,1169.64
2019-01-04,7,1330.979
2019-01-04,8,1515.402
2019-01-04,9,1558.751
2019-01-04,10,1579.014
2019-01-04,11,1539.0
2019-01-04,12,1539.0
2019-01-04,13,1539.0
2019-01-04,14,1548.747
2019-01-04,15,1600.56
2019-01-04,16,1626.98
2019-01-04,17,1649.552
2019-01-04,18,1732.144
2019-01-04,19,1513.35
2019-01-04,20,1342.008
2019-01-04,21,1205.294
2019-01-04,22,1047.546
2019-01-04,23,1004.197
2019-01-04,24,796.945
2019-01-05,1,720.765
2019-01-05,2,689.216
2019-01-05,3,747.185
2019-01-05,4,675.364
2019-01-05,5,659.718
2019-01-05,6,602.262
2019-01-05,7,673.569
2019-01-05,8,692.55
2019-01-05,9,920.579
2019-01-05,10,1295.838
2019-01-05,11,1373.814
2019-01-05,12,1394.59
2019-01-05,13,1359.194
2019-01-05,14,1333.8
2019-01-05,15,1295.325
2019-01-05,16,1326.105
2019-01-05,17,1397.925
2019-01-05,18,1487.7
2019-01-05,19,1531.305
2019-01-05,20,1513.35
2019-01-05,21,1410.75
2019-01-05,22,1295.325
2019-01-05,23,1263.262
2019-01-05,24,1104.489
2019-01-06,1,1117.571
2019-01-06,2,1102.95
2019-01-06,3,1090.125
2019-01-06,4,1098.589
2019-01-06,5,1038.825
2019-01-06,6,1043.955
2019-01-06,7,1093.203
2019-01-06,8,1093.716
2019-01-06,9,1228.379
2019-01-06,10,1360.732
2019-01-06,11,1425.884
2019-01-06,12,1475.388
2019-01-06,13,1485.648
2019-01-06,14,1457.433
2019-01-06,15,1383.305
2019-01-06,16,1392.282
2019-01-06,17,1477.184
2019-01-06,18,1600.56
2019-01-06,19,1718.55
2019-01-06,20,1664.429
2019-01-06,21,1586.452
2019-01-06,22,1436.4
2019-01-06,23,1407.929
2019-01-06,24,1282.5
2019-01-07,1,1253.431
2019-01-07,2,1239.365
