Den,Hodina,Marginální cena ČR (Kč/MWh)
01.01.2013,1,-18.855
01.01.2013,2,-628.5
01.01.2013,3,-1382.7
01.01.2013,4,-755.206
01.01.2013,5,-756.463
01.01.2013,6,-641.573
01.01.2013,7,-502.8
01.01.2013,8,-502.8
01.01.2013,9,-425.872
01.01.2013,10,0.0
01.01.2013,11,0.251
01.01.2013,12,55.811
01.01.2013,13,238.327
01.01.2013,14,328.58
01.01.2013,15,358.496
01.01.2013,16,386.905
01.01.2013,17,560.371
01.01.2013,18,727.3
01.01.2013,19,771.044
01.01.2013,20,677.272
01.01.2013,21,618.193
01.01.2013,22,499.783
01.01.2013,23,555.343
01.01.2013,24,354.223
02.01.2013,1,229.295
02.01.2013,2,229.043
02.01.2013,3,77.441
02.01.2013,4,75.927
02.01.2013,5,127.134
02.01.2013,6,382.159
02.01.2013,7,681.075
02.01.2013,8,974.694
02.01.2013,9,1009.252
02.01.2013,10,1037.504
02.01.2013,11,1109.9
02.01.2013,12,1127.558
02.01.2013,13,1160.602
02.01.2013,14,1141.431
02.01.2013,15,1238.295
02.01.2013,16,1229.971
02.01.2013,17,1304.385
02.01.2013,18,1463.05
02.01.2013,19,1466.077
02.01.2013,20,1323.808
02.01.2013,21,1242.079
02.01.2013,22,1009.0
02.01.2013,23,844.533
02.01.2013,24,691.922
03.01.2013,1,610.787
03.01.2013,2,449.881
03.01.2013,3,378.9
03.01.2013,4,270.535
03.01.2013,5,305.646
03.01.2013,6,479.94
03.01.2013,7,884.1
03.01.2013,8,1071.782
03.01.2013,9,1127.354
03.01.2013,10,1122.807
03.01.2013,11,1067.235
03.01.2013,12,1058.394
03.01.2013,13,1036.165
03.01.2013,14,1058.141
03.01.2013,15,977.057
03.01.2013,16,1010.4
03.01.2013,17,1204.902
03.01.2013,18,1308.468
03.01.2013,19,1279.672
03.01.2013,20,1215.006
03.01.2013,21,1078.602
03.01.2013,22,858.84
03.01.2013,23,838.127
03.01.2013,24,631.5
04.01.2013,1,540.062
04.01.2013,2,438.134
04.01.2013,3,364.605
04.01.2013,4,352.435
04.01.2013,5,375.254
04.01.2013,6,584.433
04.01.2013,7,862.07
04.01.2013,8,1115.62
04.01.2013,9,1124.748
04.01.2013,10,1189.15
04.01.2013,11,1132.354
04.01.2013,12,1115.62
04.01.2013,13,1113.845
04.01.2013,14,1085.194
04.01.2013,15,997.719
04.01.2013,16,997.719
04.01.2013,17,1140.975
04.01.2013,18,1265.215
04.01.2013,19,1140.975
04.01.2013,20,1014.2
04.01.2013,21,948.277
04.01.2013,22,844.068
04.01.2013,23,862.07
04.01.2013,24,692.192
05.01.2013,1,560.346
05.01.2013,2,481.745
05.01.2013,3,414.808
05.01.2013,4,343.56
05.01.2013,5,383.114
05.01.2013,6,432.303
05.01.2013,7,575.559
05.01.2013,8,684.585
05.01.2013,9,822.263
05.01.2013,10,945.742
05.01.2013,11,988.845
05.01.2013,12,1014.2
05.01.2013,13,1039.555
05.01.2013,14,1001.523
05.01.2013,15,955.376
05.01.2013,16,943.206
05.01.2013,17,1034.991
05.01.2013,18,1224.647
05.01.2013,19,1272.314
05.01.2013,20,1229.718
05.01.2013,21,1101.168
05.01.2013,22,965.011
