Den,Hodina,Marginální cena ČR (Kč/MWh)
2020-01-01,1,843.612
2020-01-01,2,772.464
2020-01-01,3,724.947
2020-01-01,4,695.472
2020-01-01,5,670.316
2020-01-01,6,673.365
2020-01-01,7,686.324
2020-01-01,8,696.234
2020-01-01,9,711.226
2020-01-01,10,704.111
2020-01-01,11,721.644
2020-01-01,12,736.382
2020-01-01,13,749.595
2020-01-01,14,747.816
2020-01-01,15,775.259
2020-01-01,16,846.661
2020-01-01,17,968.375
2020-01-01,18,1047.908
2020-01-01,19,1083.991
2020-01-01,20,1069.253
2020-01-01,21,1003.949
2020-01-01,22,952.875
2020-01-01,23,904.596
2020-01-01,24,802.956
2020-01-02,1,813.374
2020-01-02,2,800.415
2020-01-02,3,753.661
2020-01-02,4,729.267
2020-01-02,5,741.464
2020-01-02,6,813.374
2020-01-02,7,921.367
2020-01-02,8,1054.515
2020-01-02,9,1159.967
2020-01-02,10,1219.934
2020-01-02,11,1143.45
2020-01-02,12,1143.45
2020-01-02,13,1168.352
2020-01-02,14,1219.68
2020-01-02,15,1189.95
2020-01-02,16,1305.058
2020-01-02,17,1772.093
2020-01-02,18,1524.346
2020-01-02,19,1249.156
2020-01-02,20,1402.632
2020-01-02,21,1175.975
2020-01-02,22,1054.515
2020-01-02,23,965.58
2020-01-02,24,673.365
2020-01-03,1,758.771
2020-01-03,2,697.4
2020-01-03,3,698.414
2020-01-03,4,644.144
2020-01-03,5,722.76
2020-01-03,6,812.534
2020-01-03,7,893.179
2020-01-03,8,1039.76
2020-01-03,9,1082.618
2020-01-03,10,1095.552
2020-01-03,11,1073.235
2020-01-03,12,1072.474
2020-01-03,13,1075.518
2020-01-03,14,1064.613
2020-01-03,15,1052.694
2020-01-03,16,1039.76
2020-01-03,17,1080.082
2020-01-03,18,1090.48
2020-01-03,19,1064.106
2020-01-03,20,1070.446
2020-01-03,21,1011.357
2020-01-03,22,851.335
2020-01-03,23,804.673
2020-01-03,24,752.938
2020-01-04,1,459.016
