Den,Hodina,Marginální cena ČR (Kč/MWh)
01.01.2010,1,52.93
01.01.2010,2,26.465
01.01.2010,3,0.265
01.01.2010,4,0.265
01.01.2010,5,0.265
01.01.2010,6,0.265
01.01.2010,7,0.265
01.01.2010,8,0.265
01.01.2010,9,0.265
01.01.2010,10,0.265
01.01.2010,11,26.465
01.01.2010,12,26.465
01.01.2010,13,26.465
01.01.2010,14,26.465
01.01.2010,15,264.65
01.01.2010,16,396.975
01.01.2010,17,616.635
01.01.2010,18,874.404
01.01.2010,19,926.275
01.01.2010,20,924.422
01.01.2010,21,800.566
01.01.2010,22,396.975
01.01.2010,23,396.975
01.01.2010,24,26.465
02.01.2010,1,396.975
02.01.2010,2,26.465
02.01.2010,3,26.465
02.01.2010,4,26.465
02.01.2010,5,26.465
02.01.2010,6,26.465
02.01.2010,7,26.465
02.01.2010,8,529.3
02.01.2010,9,793.95
02.01.2010,10,952.74
02.01.2010,11,1124.233
02.01.2010,12,1170.282
02.01.2010,13,1208.392
02.01.2010,14,1095.651
02.01.2010,15,1047.22
02.01.2010,16,947.976
02.01.2010,17,1200.982
02.01.2010,18,1423.817
02.01.2010,19,1471.719
02.01.2010,20,1378.033
02.01.2010,21,1259.734
02.01.2010,22,1045.897
02.01.2010,23,979.205
02.01.2010,24,793.95
03.01.2010,1,26.465
03.01.2010,2,26.465
03.01.2010,3,26.465
03.01.2010,4,26.465
03.01.2010,5,264.65
03.01.2010,6,264.65
03.01.2010,7,26.465
03.01.2010,8,26.465
03.01.2010,9,529.3
03.01.2010,10,793.95
03.01.2010,11,952.74
03.01.2010,12,947.976
03.01.2010,13,1032.135
03.01.2010,14,947.976
03.01.2010,15,926.275
03.01.2010,16,926.275
03.01.2010,17,1108.354
03.01.2010,18,1431.492
03.01.2010,19,1587.9
03.01.2010,20,1584.195
03.01.2010,21,1296.785
03.01.2010,22,1032.135
03.01.2010,23,1032.135
03.01.2010,24,846.88
04.01.2010,1,710.1
04.01.2010,2,26.3
04.01.2010,3,26.3
04.01.2010,4,26.3
04.01.2010,5,26.3
04.01.2010,6,710.1
04.01.2010,7,867.9
04.01.2010,8,1052.0
04.01.2010,9,736.4
04.01.2010,10,1446.5
04.01.2010,11,1446.5
04.01.2010,12,1472.8
04.01.2010,13,1499.1
04.01.2010,14,1420.2
04.01.2010,15,1234.785
04.01.2010,16,1341.3
04.01.2010,17,1679.518
04.01.2010,18,1919.9
04.01.2010,19,1785.244
04.01.2010,20,1709.5
04.01.2010,21,1709.5
04.01.2010,22,1288.7
04.01.2010,23,1236.1
04.01.2010,24,942.066
05.01.2010,1,26.23
05.01.2010,2,52.46
05.01.2010,3,26.23
05.01.2010,4,26.23
05.01.2010,5,26.23
05.01.2010,6,26.23
05.01.2010,7,939.559
05.01.2010,8,1289.467
