Den,Hodina,Marginální cena ČR (Kč/MWh)
2016-01-01,1,445.912
2016-01-01,2,418.888
2016-01-01,3,378.35
2016-01-01,4,270.52
2016-01-01,5,242.414
2016-01-01,6,330.516
2016-01-01,7,327.003
2016-01-01,8,378.35
2016-01-01,9,135.125
2016-01-01,10,270.52
2016-01-01,11,391.862
2016-01-01,12,135.125
2016-01-01,13,162.15
2016-01-01,14,298.626
2016-01-01,15,567.525
2016-01-01,16,675.625
2016-01-01,17,843.18
2016-01-01,18,919.391
2016-01-01,19,945.875
2016-01-01,20,932.363
2016-01-01,21,919.661
2016-01-01,22,810.75
2016-01-01,23,760.213
2016-01-01,24,589.145
2016-01-02,1,0.27
2016-01-02,2,27.025
2016-01-02,3,0.27
2016-01-02,4,0.27
2016-01-02,5,54.32
2016-01-02,6,27.025
2016-01-02,7,0.27
2016-01-02,8,27.025
2016-01-02,9,138.098
2016-01-02,10,594.55
2016-01-02,11,1115.862
2016-01-02,12,1380.437
2016-01-02,13,1380.707
2016-01-02,14,1673.658
2016-01-02,15,1351.25
2016-01-02,16,1433.406
2016-01-02,17,2702.5
2016-01-02,18,1752.031
2016-01-02,19,1567.991
2016-01-02,20,872.637
2016-01-02,21,948.037
2016-01-02,22,594.55
2016-01-02,23,594.55
2016-01-02,24,432.4
2016-01-03,1,0.27
2016-01-03,2,67.563
2016-01-03,3,27.025
2016-01-03,4,27.025
2016-01-03,5,35.403
2016-01-03,6,27.025
2016-01-03,7,0.27
2016-01-03,8,27.295
2016-01-03,9,307.545
2016-01-03,10,534.284
2016-01-03,11,729.675
2016-01-03,12,783.725
2016-01-03,13,729.675
2016-01-03,14,729.675
2016-01-03,15,729.675
2016-01-03,16,783.725
2016-01-03,17,1210.72
2016-01-03,18,932.363
2016-01-03,19,1024.248
2016-01-03,20,903.986
2016-01-03,21,783.725
2016-01-03,22,689.137
2016-01-03,23,672.112
2016-01-03,24,463.479
2016-01-04,1,621.46
2016-01-04,2,416.919
2016-01-04,3,391.79
2016-01-04,4,339.912
2016-01-04,5,391.79
2016-01-04,6,594.44
2016-01-04,7,1024.058
2016-01-04,8,1495.557
2016-01-04,9,1215.9
2016-01-04,10,1226.978
2016-01-04,11,1296.96
2016-01-04,12,1296.96
2016-01-04,13,1573.375
2016-01-04,14,1540.68
2016-01-04,15,1551.488
2016-01-04,16,1568.781
2016-01-04,17,1607.15
2016-01-04,18,1378.02
2016-01-04,19,1296.96
2016-01-04,20,1215.9
2016-01-04,21,1080.8
2016-01-04,22,926.786
2016-01-04,23,864.64
2016-01-04,24,675.5
2016-01-05,1,605.248
2016-01-05,2,582.821
2016-01-05,3,548.506
2016-01-05,4,513.65
2016-01-05,5,523.377
2016-01-05,6,576.607
2016-01-05,7,799.792
2016-01-05,8,999.74
2016-01-05,9,1133.219
2016-01-05,10,1323.98
2016-01-05,11,1364.51
2016-01-05,12,1300.473
2016-01-05,13,1089.987
2016-01-05,14,1079.179
2016-01-05,15,1087.015
2016-01-05,16,1215.9
2016-01-05,17,1116.196
2016-01-05,18,1242.65
2016-01-05,19,1224.817
2016-01-05,20,1161.86
2016-01-05,21,999.74
2016-01-05,22,868.963
2016-01-05,23,810.87
2016-01-05,24,675.5
2016-01-06,1,715.352
2016-01-06,2,725.081
2016-01-06,3,668.869
2016-01-06,4,662.383
2016-01-06,5,648.6
2016-01-06,6,694.272
2016-01-06,7,810.75
2016-01-06,8,1010.735
2016-01-06,9,1092.351
2016-01-06,10,1082.892
2016-01-06,11,1117.484
2016-01-06,12,1128.024
2016-01-06,13,1086.675
2016-01-06,14,1081.0
2016-01-06,15,1053.975
2016-01-06,16,1072.082
