Den,Hodina,Marginální cena ČR (Kč/MWh)
2014-01-01,1,548.5
2014-01-01,2,438.8
2014-01-01,3,389.435
2014-01-01,4,294.819
2014-01-01,5,258.069
2014-01-01,6,223.514
2014-01-01,7,76.79
2014-01-01,8,109.7
2014-01-01,9,27.425
2014-01-01,10,274.799
2014-01-01,11,422.345
2014-01-01,12,529.303
2014-01-01,13,556.728
2014-01-01,14,543.838
2014-01-01,15,583.604
2014-01-01,16,603.35
2014-01-01,17,663.685
2014-01-01,18,910.51
2014-01-01,19,888.57
2014-01-01,20,850.175
2014-01-01,21,848.804
2014-01-01,22,740.749
2014-01-01,23,806.295
2014-01-01,24,600.608
2014-01-02,1,357.24
2014-01-02,2,287.441
2014-01-02,3,230.282
2014-01-02,4,152.514
2014-01-02,5,164.88
2014-01-02,6,326.188
2014-01-02,7,505.632
2014-01-02,8,796.92
2014-01-02,9,937.068
2014-01-02,10,989.28
2014-01-02,11,1002.196
2014-01-02,12,1021.706
2014-01-02,13,1039.843
2014-01-02,14,1064.85
2014-01-02,15,1028.302
2014-01-02,16,1109.093
2014-01-02,17,1126.68
2014-01-02,18,1369.054
2014-01-02,19,1399.282
2014-01-02,20,1288.812
2014-01-02,21,1200.326
2014-01-02,22,962.624
2014-01-02,23,990.654
2014-01-02,24,799.668
2014-01-03,1,688.0
2014-01-03,2,629.107
2014-01-03,3,518.477
2014-01-03,4,476.646
2014-01-03,5,482.701
2014-01-03,6,629.658
2014-01-03,7,818.17
2014-01-03,8,963.2
2014-01-03,9,956.32
2014-01-03,10,1024.294
2014-01-03,11,963.2
2014-01-03,12,916.416
2014-01-03,13,883.117
2014-01-03,14,894.4
2014-01-03,15,907.334
2014-01-03,16,880.64
2014-01-03,17,905.958
2014-01-03,18,1069.427
2014-01-03,19,1084.838
2014-01-03,20,920.819
2014-01-03,21,836.058
2014-01-03,22,661.03
2014-01-03,23,598.56
2014-01-03,24,374.272
2014-01-04,1,165.12
2014-01-04,2,123.84
2014-01-04,3,27.52
2014-01-04,4,27.52
2014-01-04,5,70.176
2014-01-04,6,170.624
2014-01-04,7,247.405
2014-01-04,8,390.784
2014-01-04,9,506.368
2014-01-04,10,825.6
2014-01-04,11,873.76
2014-01-04,12,919.168
2014-01-04,13,899.354
2014-01-04,14,885.594
2014-01-04,15,858.624
2014-01-04,16,843.213
2014-01-04,17,880.64
2014-01-04,18,1140.154
2014-01-04,19,1095.296
2014-01-04,20,1018.24
2014-01-04,21,932.378
2014-01-04,22,765.056
2014-01-04,23,741.114
2014-01-04,24,632.96
2014-01-05,1,465.363
2014-01-05,2,385.28
2014-01-05,3,330.24
2014-01-05,4,275.2
2014-01-05,5,250.432
2014-01-05,6,248.781
2014-01-05,7,266.944
2014-01-05,8,344.275
2014-01-05,9,500.864
2014-01-05,10,724.877
2014-01-05,11,825.6
2014-01-05,12,908.16
2014-01-05,13,880.64
2014-01-05,14,825.875
2014-01-05,15,800.832
2014-01-05,16,833.581
2014-01-05,17,914.765
2014-01-05,18,1017.69
2014-01-05,19,1043.834
2014-01-05,20,1019.066
2014-01-05,21,912.563
2014-01-05,22,798.08
2014-01-05,23,716.621
2014-01-05,24,462.336
2014-01-06,1,436.737
2014-01-06,2,335.042
2014-01-06,3,272.376
2014-01-06,4,167.933
2014-01-06,5,219.88
2014-01-06,6,363.627
2014-01-06,7,662.389
2014-01-06,8,890.514
2014-01-06,9,877.596
2014-01-06,10,929.543
2014-01-06,11,904.531
2014-01-06,12,912.502
2014-01-06,13,925.145
2014-01-06,14,924.87
2014-01-06,15,930.917
2014-01-06,16,934.49
2014-01-06,17,963.074
2014-01-06,18,1159.867
2014-01-06,19,1111.219
2014-01-06,20,972.969
2014-01-06,21,970.22
2014-01-06,22,907.005
2014-01-06,23,871.275
2014-01-06,24,592.302
2014-01-07,1,425.63
2014-01-07,2,355.058
2014-01-07,3,288.33
2014-01-07,4,231.488
2014-01-07,5,302.06
2014-01-07,6,389.108
2014-01-07,7,855.104
2014-01-07,8,1025.082
2014-01-07,9,988.56
2014-01-07,10,1002.29
2014-01-07,11,972.084
2014-01-07,12,988.56
2014-01-07,13,991.306
2014-01-07,14,974.83
2014-01-07,15,1018.766
2014-01-07,16,1065.448
2014-01-07,17,1148.103
2014-01-07,18,1337.577
2014-01-07,19,1337.851
2014-01-07,20,1167.05
2014-01-07,21,1099.773
2014-01-07,22,949.292
2014-01-07,23,931.992
2014-01-07,24,708.468
2014-01-08,1,535.275
2014-01-08,2,472.964
2014-01-08,3,358.772
2014-01-08,4,325.282
2014-01-08,5,356.85
2014-01-08,6,440.847
2014-01-08,7,874.557
2014-01-08,8,1087.02
2014-01-08,9,1113.372
2014-01-08,10,1067.805
2014-01-08,11,1001.925
2014-01-08,12,960.75
2014-01-08,13,952.515
2014-01-08,14,961.299
2014-01-08,15,1070.55
2014-01-08,16,1259.955
2014-01-08,17,1324.188
2014-01-08,18,1643.432
2014-01-08,19,1674.45
2014-01-08,20,1482.3
2014-01-08,21,1195.448
2014-01-08,22,1015.65
2014-01-08,23,905.85
2014-01-08,24,759.542
2014-01-09,1,848.565
2014-01-09,2,795.615
2014-01-09,3,693.557
2014-01-09,4,663.927
2014-01-09,5,740.196
2014-01-09,6,874.628
2014-01-09,7,987.66
2014-01-09,8,1344.315
2014-01-09,9,1454.055
2014-01-09,10,1229.637
2014-01-09,11,1064.752
2014-01-09,12,975.589
2014-01-09,13,928.675
2014-01-09,14,858.167
2014-01-09,15,853.229
2014-01-09,16,905.355
2014-01-09,17,898.496
2014-01-09,18,960.225
2014-01-09,19,862.831
2014-01-09,20,812.899
2014-01-09,21,685.875
2014-01-09,22,507.547
2014-01-09,23,384.09
2014-01-09,24,131.688
2014-01-10,1,187.348
2014-01-10,2,136.95
2014-01-10,3,27.39
2014-01-10,4,38.346
2014-01-10,5,136.128
2014-01-10,6,353.879
2014-01-10,7,657.36
2014-01-10,8,921.674
2014-01-10,9,931.26
2014-01-10,10,889.901
2014-01-10,11,862.785
2014-01-10,12,817.318
2014-01-10,13,799.788
2014-01-10,14,794.31
2014-01-10,15,854.568
2014-01-10,16,931.26
2014-01-10,17,1057.254
2014-01-10,18,1377.169
2014-01-10,19,1448.931
2014-01-10,20,1182.7
2014-01-10,21,1061.363
2014-01-10,22,904.692
2014-01-10,23,805.266
2014-01-10,24,562.865
2014-01-11,1,764.181
2014-01-11,2,686.667
2014-01-11,3,657.36
2014-01-11,4,613.536
2014-01-11,5,575.19
2014-01-11,6,629.97
2014-01-11,7,657.36
2014-01-11,8,838.134
2014-01-11,9,884.697
2014-01-11,10,1001.378
2014-01-11,11,1002.2
2014-01-11,12,1033.699
2014-01-11,13,987.957
2014-01-11,14,979.466
2014-01-11,15,931.26
2014-01-11,16,910.444
2014-01-11,17,895.105
2014-01-11,18,1013.43
2014-01-11,19,971.249
2014-01-11,20,849.09
2014-01-11,21,775.411
2014-01-11,22,687.489
2014-01-11,23,600.663
2014-01-11,24,375.243
2014-01-12,1,138.32
2014-01-12,2,171.461
2014-01-12,3,152.288
2014-01-12,4,134.211
2014-01-12,5,192.552
2014-01-12,6,164.34
2014-01-12,7,82.17
2014-01-12,8,142.702
2014-01-12,9,292.525
2014-01-12,10,619.014
2014-01-12,11,646.404
2014-01-12,12,678.724
2014-01-12,13,590.255
2014-01-12,14,680.094
2014-01-12,15,734.052
2014-01-12,16,800.062
2014-01-12,17,894.557
2014-01-12,18,994.257
2014-01-12,19,1073.688
2014-01-12,20,1007.952
2014-01-12,21,1099.982
2014-01-12,22,951.529
2014-01-12,23,942.764
2014-01-12,24,781.711
2014-01-13,1,712.53
2014-01-13,2,697.183
2014-01-13,3,650.869
2014-01-13,4,599.073
2014-01-13,5,632.507
2014-01-13,6,823.794
2014-01-13,7,1080.579
2014-01-13,8,1671.705
2014-01-13,9,1577.98
2014-01-13,10,1433.282
2014-01-13,11,1339.008
2014-01-13,12,1282.006
2014-01-13,13,1291.598
2014-01-13,14,1400.396
2014-01-13,15,1408.617
2014-01-13,16,1427.801
2014-01-13,17,1578.528
2014-01-13,18,1787.902
2014-01-13,19,1790.095
2014-01-13,20,1616.895
2014-01-13,21,1481.24
2014-01-13,22,1178.415
2014-01-13,23,1004.941
2014-01-13,24,866.272
2014-01-14,1,914.064
2014-01-14,2,912.42
2014-01-14,3,857.62
2014-01-14,4,803.916
2014-01-14,5,835.426
2014-01-14,6,925.298
2014-01-14,7,1312.46
2014-01-14,8,1808.4
2014-01-14,9,1753.6
2014-01-14,10,1751.134
2014-01-14,11,1630.026
2014-01-14,12,1682.634
2014-01-14,13,1641.808
2014-01-14,14,1636.602
2014-01-14,15,1588.652
2014-01-14,16,1587.282
2014-01-14,17,1750.86
2014-01-14,18,2027.6
2014-01-14,19,2025.408
2014-01-14,20,1776.89
2014-01-14,21,1565.088
2014-01-14,22,1298.76
2014-01-14,23,1041.2
2014-01-14,24,849.4
2014-01-15,1,878.354
2014-01-15,2,823.749
2014-01-15,3,795.76
2014-01-15,4,766.125
2014-01-15,5,768.32
2014-01-15,6,836.371
2014-01-15,7,1089.368
2014-01-15,8,1673.84
2014-01-15,9,1687.56
2014-01-15,10,1648.87
2014-01-15,11,1606.612
2014-01-15,12,1600.85
2014-01-15,13,1539.384
2014-01-15,14,1451.576
2014-01-15,15,1396.97
2014-01-15,16,1399.989
2014-01-15,17,1475.174
2014-01-15,18,1690.304
2014-01-15,19,1671.096
2014-01-15,20,1431.27
2014-01-15,21,1360.75
2014-01-15,22,1019.945
2014-01-15,23,942.838
2014-01-15,24,792.467
2014-01-16,1,731.367
2014-01-16,2,702.772
2014-01-16,3,632.385
2014-01-16,4,523.78
2014-01-16,5,551.55
2014-01-16,6,702.772
2014-01-16,7,916.408
2014-01-16,8,1333.508
2014-01-16,9,1388.498
2014-01-16,10,1314.261
2014-01-16,11,1314.261
2014-01-16,12,1335.982
2014-01-16,13,1340.106
2014-01-16,14,1333.782
2014-01-16,15,1298.589
2014-01-16,16,1281.267
2014-01-16,17,1292.265
2014-01-16,18,1394.546
2014-01-16,19,1483.355
2014-01-16,20,1408.569
2014-01-16,21,1218.029
2014-01-16,22,934.83
2014-01-16,23,879.84
2014-01-16,24,775.359
2014-01-17,1,724.812
2014-01-17,2,705.594
2014-01-17,3,631.465
2014-01-17,4,521.645
2014-01-17,5,632.838
2014-01-17,6,717.948
2014-01-17,7,949.943
2014-01-17,8,1360.944
2014-01-17,9,1362.592
2014-01-17,10,1352.982
2014-01-17,11,1326.077
2014-01-17,12,1318.664
2014-01-17,13,1276.658
2014-01-17,14,1237.946
2014-01-17,15,1212.138
2014-01-17,16,1194.293
2014-01-17,17,1260.184
2014-01-17,18,1334.862
2014-01-17,19,1404.323
2014-01-17,20,1273.912
2014-01-17,21,1085.845
2014-01-17,22,875.815
2014-01-17,23,853.851
2014-01-17,24,724.537
2014-01-18,1,833.259
2014-01-18,2,755.012
2014-01-18,3,741.285
2014-01-18,4,713.83
2014-01-18,5,749.522
2014-01-18,6,768.465
