Den,Hodina,Marginální cena ČR (Kč/MWh)
2015-01-01,1,734.158
2015-01-01,2,670.945
2015-01-01,3,611.614
2015-01-01,4,561.986
2015-01-01,5,531.488
2015-01-01,6,496.278
2015-01-01,7,479.365
2015-01-01,8,482.138
2015-01-01,9,439.164
2015-01-01,10,514.299
2015-01-01,11,609.118
2015-01-01,12,663.737
2015-01-01,13,689.521
2015-01-01,14,665.4
2015-01-01,15,648.765
2015-01-01,16,645.993
2015-01-01,17,718.078
2015-01-01,18,845.613
2015-01-01,19,808.738
2015-01-01,20,751.07
2015-01-01,21,615.495
2015-01-01,22,499.05
2015-01-01,23,463.008
2015-01-01,24,296.657
2015-01-02,1,0.277
2015-01-02,2,-8.31
2015-01-02,3,-96.95
2015-01-02,4,-116.34
2015-01-02,5,-90.302
2015-01-02,6,-5.54
2015-01-02,7,49.86
2015-01-02,8,240.99
2015-01-02,9,364.255
2015-01-02,10,476.44
2015-01-02,11,526.3
2015-01-02,12,530.455
2015-01-02,13,554.0
2015-01-02,14,554.0
2015-01-02,15,567.85
2015-01-02,16,567.85
2015-01-02,17,637.1
2015-01-02,18,720.2
2015-01-02,19,706.35
2015-01-02,20,637.1
2015-01-02,21,476.44
2015-01-02,22,387.8
2015-01-02,23,322.705
2015-01-02,24,138.5
2015-01-03,1,16.343
2015-01-03,2,-19.39
2015-01-03,3,-55.4
2015-01-03,4,-29.362
2015-01-03,5,6.925
2015-01-03,6,27.423
2015-01-03,7,145.702
2015-01-03,8,327.968
2015-01-03,9,423.81
2015-01-03,10,527.685
2015-01-03,11,619.649
2015-01-03,12,653.443
2015-01-03,13,670.894
2015-01-03,14,664.8
2015-01-03,15,746.238
2015-01-03,16,814.38
2015-01-03,17,885.292
2015-01-03,18,1058.694
2015-01-03,19,1108.0
2015-01-03,20,1008.28
2015-01-03,21,822.69
2015-01-03,22,700.81
2015-01-03,23,562.033
2015-01-03,24,347.358
2015-01-04,1,138.5
2015-01-04,2,83.1
2015-01-04,3,55.4
2015-01-04,4,0.0
2015-01-04,5,0.277
2015-01-04,6,-40.165
