Den,Hodina,Marginální cena ČR (Kč/MWh)
2018-01-01,1,-255.4
2018-01-01,2,-485.26
2018-01-01,3,-513.354
2018-01-01,4,-687.026
2018-01-01,5,-702.35
2018-01-01,6,-868.36
2018-01-01,7,-893.9
2018-01-01,8,-766.2
2018-01-01,9,-893.9
2018-01-01,10,-536.34
2018-01-01,11,-102.415
2018-01-01,12,-51.08
2018-01-01,13,-102.415
2018-01-01,14,-51.335
2018-01-01,15,47.249
2018-01-01,16,154.006
2018-01-01,17,383.1
2018-01-01,18,571.585
2018-01-01,19,663.785
2018-01-01,20,677.832
2018-01-01,21,732.998
2018-01-01,22,664.04
2018-01-01,23,639.011
2018-01-01,24,443.119
2018-01-02,1,458.655
2018-01-02,2,431.12
2018-01-02,3,354.89
2018-01-02,4,261.834
2018-01-02,5,323.787
2018-01-02,6,458.655
2018-01-02,7,704.937
2018-01-02,8,917.055
2018-01-02,9,1014.701
2018-01-02,10,1112.602
2018-01-02,11,1112.602
2018-01-02,12,1133.763
2018-01-02,13,1121.78
2018-01-02,14,1077.929
2018-01-02,15,1066.201
2018-01-02,16,1058.043
2018-01-02,17,1163.082
2018-01-02,18,1232.428
2018-01-02,19,1172.77
2018-01-02,20,1075.124
2018-01-02,21,985.382
2018-01-02,22,866.83
2018-01-02,23,764.85
2018-01-02,24,555.026
2018-01-03,1,245.232
2018-01-03,2,135.389
2018-01-03,3,7.919
2018-01-03,4,-50.324
2018-01-03,5,25.29
2018-01-03,6,253.151
2018-01-03,7,574.507
2018-01-03,8,894.075
2018-01-03,9,1008.261
2018-01-03,10,1037.127
2018-01-03,11,999.831
2018-01-03,12,882.835
2018-01-03,13,896.63
2018-01-03,14,919.62
2018-01-03,15,921.919
2018-01-03,16,1021.8
2018-01-03,17,1072.89
2018-01-03,18,1039.171
2018-01-03,19,998.81
2018-01-03,20,970.71
2018-01-03,21,870.574
2018-01-03,22,554.837
2018-01-03,23,266.179
2018-01-03,24,9.452
2018-01-04,1,-127.55
2018-01-04,2,-128.825
2018-01-04,3,-420.915
2018-01-04,4,-313.773
2018-01-04,5,-119.897
2018-01-04,6,127.55
2018-01-04,7,382.65
2018-01-04,8,714.28
2018-01-04,9,915.809
2018-01-04,10,1018.614
2018-01-04,11,1090.808
2018-01-04,12,1122.185
2018-01-04,13,1122.44
2018-01-04,14,1117.338
2018-01-04,15,1122.44
2018-01-04,16,1147.95
2018-01-04,17,1275.245
2018-01-04,18,1301.01
2018-01-04,19,1293.612
2018-01-04,20,1232.643
2018-01-04,21,1048.461
2018-01-04,22,748.208
2018-01-04,23,663.26
2018-01-04,24,494.894
2018-01-05,1,238.545
2018-01-05,2,129.255
2018-01-05,3,24.571
2018-01-05,4,14.077
2018-01-05,5,84.208
2018-01-05,6,128.231
2018-01-05,7,491.424
2018-01-05,8,761.963
2018-01-05,9,991.294
2018-01-05,10,1031.478
2018-01-05,11,1041.717
2018-01-05,12,1069.871
2018-01-05,13,1041.717
2018-01-05,14,1017.145
2018-01-05,15,1009.979
2018-01-05,16,1013.562
2018-01-05,17,1146.656
2018-01-05,18,1281.798
2018-01-05,19,1287.173
2018-01-05,20,1191.959
2018-01-05,21,1074.99
2018-01-05,22,949.063
2018-01-05,23,908.623
2018-01-05,24,799.332
2018-01-06,1,703.863
2018-01-06,2,693.625
2018-01-06,3,637.315
2018-01-06,4,603.274
2018-01-06,5,611.72
2018-01-06,6,625.03
2018-01-06,7,696.184
2018-01-06,8,712.565
2018-01-06,9,880.724
2018-01-06,10,951.366
2018-01-06,11,1000.765
2018-01-06,12,1037.877
2018-01-06,13,1022.264
2018-01-06,14,1009.723
2018-01-06,15,977.985
2018-01-06,16,1020.985
2018-01-06,17,1067.312
2018-01-06,18,1177.37
2018-01-06,19,1152.287
2018-01-06,20,1092.395
2018-01-06,21,934.729
2018-01-06,22,818.016
2018-01-06,23,819.04
2018-01-06,24,691.065
2018-01-07,1,541.59
2018-01-07,2,407.472
2018-01-07,3,378.806
2018-01-07,4,338.622
2018-01-07,5,363.449
2018-01-07,6,327.104
2018-01-07,7,330.176
2018-01-07,8,371.128
2018-01-07,9,460.71
2018-01-07,10,593.804
2018-01-07,11,687.226
2018-01-07,12,753.517
2018-01-07,13,692.857
2018-01-07,14,650.881
2018-01-07,15,606.09
2018-01-07,16,639.875
2018-01-07,17,784.743
2018-01-07,18,882.004
2018-01-07,19,880.468
2018-01-07,20,819.04
2018-01-07,21,742.255
2018-01-07,22,667.518
2018-01-07,23,665.47
2018-01-07,24,529.816
2018-01-08,1,607.495
2018-01-08,2,502.077
2018-01-08,3,418.355
2018-01-08,4,393.595
2018-01-08,5,463.279
2018-01-08,6,645.783
2018-01-08,7,957.443
2018-01-08,8,1225.711
2018-01-08,9,1251.236
2018-01-08,10,1202.228
2018-01-08,11,1156.282
2018-01-08,12,1135.863
2018-01-08,13,1123.1
2018-01-08,14,1084.557
2018-01-08,15,1046.525
2018-01-08,16,1089.662
2018-01-08,17,1133.821
2018-01-08,18,1122.845
2018-01-08,19,1071.284
2018-01-08,20,1023.553
2018-01-08,21,943.659
2018-01-08,22,714.7
2018-01-08,23,612.6
2018-01-08,24,339.483
2018-01-09,1,341.658
2018-01-09,2,262.244
2018-01-09,3,191.768
2018-01-09,4,146.316
2018-01-09,5,181.043
2018-01-09,6,336.807
2018-01-09,7,692.765
2018-01-09,8,992.801
2018-01-09,9,970.33
2018-01-09,10,944.795
2018-01-09,11,958.839
2018-01-09,12,976.714
2018-01-09,13,1021.4
2018-01-09,14,997.652
2018-01-09,15,1054.34
2018-01-09,16,1098.005
2018-01-09,17,1144.989
2018-01-09,18,1261.174
2018-01-09,19,1269.6
2018-01-09,20,1182.015
2018-01-09,21,1066.597
2018-01-09,22,940.709
2018-01-09,23,893.725
2018-01-09,24,738.217
2018-01-10,1,699.97
2018-01-10,2,664.434
2018-01-10,3,651.908
2018-01-10,4,645.261
2018-01-10,5,687.699
2018-01-10,6,778.966
2018-01-10,7,1028.48
2018-01-10,8,1297.935
2018-01-10,9,1313.274
2018-01-10,10,1266.234
2018-01-10,11,1243.482
2018-01-10,12,1250.895
2018-01-10,13,1227.12
2018-01-10,14,1214.593
2018-01-10,15,1218.684
2018-01-10,16,1267.257
2018-01-10,17,1319.921
2018-01-10,18,1411.955
2018-01-10,19,1389.458
2018-01-10,20,1308.417
2018-01-10,21,1247.572
2018-01-10,22,1140.199
2018-01-10,23,1047.909
2018-01-10,24,944.627
2018-01-11,1,881.303
2018-01-11,2,847.839
2018-01-11,3,817.695
2018-01-11,4,789.851
2018-01-11,5,799.559
2018-01-11,6,871.085
2018-01-11,7,1104.055
2018-01-11,8,1348.01
2018-01-11,9,1439.205
2018-01-11,10,1422.857
2018-01-11,11,1426.177
2018-01-11,12,1425.411
2018-01-11,13,1381.985
2018-01-11,14,1356.184
2018-01-11,15,1340.091
2018-01-11,16,1361.549
2018-01-11,17,1404.72
2018-01-11,18,1486.208
2018-01-11,19,1505.622
2018-01-11,20,1411.872
2018-01-11,21,1243.02
2018-01-11,22,1079.787
2018-01-11,23,996.255
2018-01-11,24,894.586
2018-01-12,1,913.361
2018-01-12,2,882.992
2018-01-12,3,847.264
2018-01-12,4,816.64
2018-01-12,5,816.64
2018-01-12,6,900.856
2018-01-12,7,1033.305
2018-01-12,8,1280.083
2018-01-12,9,1326.785
2018-01-12,10,1321.17
2018-01-12,11,1322.702
2018-01-12,12,1316.322
2018-01-12,13,1283.401
2018-01-12,14,1238.486
2018-01-12,15,1186.68
2018-01-12,16,1177.493
2018-01-12,17,1207.096
2018-01-12,18,1284.422
2018-01-12,19,1253.798
2018-01-12,20,1161.926
2018-01-12,21,1028.966
2018-01-12,22,905.96
2018-01-12,23,892.434
2018-01-12,24,819.192
2018-01-13,1,865.638
2018-01-13,2,813.322
2018-01-13,3,793.417
2018-01-13,4,803.625
2018-01-13,5,791.12
2018-01-13,6,802.094
2018-01-13,7,791.12
2018-01-13,8,803.88
2018-01-13,9,881.971
2018-01-13,10,993.494
2018-01-13,11,1020.8
2018-01-13,12,1013.144
2018-01-13,13,1002.936
2018-01-13,14,950.875
2018-01-13,15,897.538
2018-01-13,16,887.33
2018-01-13,17,995.025
2018-01-13,18,1066.991
2018-01-13,19,1060.611
2018-01-13,20,998.853
2018-01-13,21,862.576
2018-01-13,22,791.12
2018-01-13,23,813.833
2018-01-13,24,714.05
2018-01-14,1,548.68
2018-01-14,2,475.948
2018-01-14,3,433.33
2018-01-14,4,418.528
2018-01-14,5,418.528
2018-01-14,6,442.517
2018-01-14,7,435.882
2018-01-14,8,516.27
2018-01-14,9,651.015
2018-01-14,10,727.32
2018-01-14,11,735.742
2018-01-14,12,803.88
2018-01-14,13,784.995
2018-01-14,14,755.392
2018-01-14,15,751.564
2018-01-14,16,766.876
2018-01-14,17,862.576
2018-01-14,18,938.881
2018-01-14,19,972.567
2018-01-14,20,935.308
2018-01-14,21,852.878
2018-01-14,22,781.678
2018-01-14,23,776.829
2018-01-14,24,659.692
2018-01-15,1,546.342
2018-01-15,2,548.895
2018-01-15,3,510.6
2018-01-15,4,495.282
2018-01-15,5,510.6
2018-01-15,6,642.079
2018-01-15,7,970.14
2018-01-15,8,1243.822
2018-01-15,9,1199.91
2018-01-15,10,1118.725
2018-01-15,11,1094.216
2018-01-15,12,1046.73
2018-01-15,13,1017.115
2018-01-15,14,995.67
2018-01-15,15,1000.521
2018-01-15,16,1134.043
2018-01-15,17,1397.512
2018-01-15,18,1429.68
2018-01-15,19,1429.68
2018-01-15,20,1278.798
2018-01-15,21,1134.043
2018-01-15,22,710.245
2018-01-15,23,306.615
2018-01-15,24,204.24
2018-01-16,1,305.159
2018-01-16,2,260.508
2018-01-16,3,78.076
2018-01-16,4,51.03
2018-01-16,5,119.155
2018-01-16,6,276.583
2018-01-16,7,663.39
2018-01-16,8,930.787
2018-01-16,9,1021.11
2018-01-16,10,1148.175
2018-01-16,11,1148.175
2018-01-16,12,1173.69
2018-01-16,13,1219.617
2018-01-16,14,1275.75
2018-01-16,15,1224.72
2018-01-16,16,1199.205
2018-01-16,17,1288.508
2018-01-16,18,1275.75
2018-01-16,19,1199.205
2018-01-16,20,1122.66
2018-01-16,21,880.268
2018-01-16,22,739.935
2018-01-16,23,688.905
2018-01-16,24,478.151
2018-01-17,1,458.01
2018-01-17,2,414.754
2018-01-17,3,344.271
2018-01-17,4,317.808
2018-01-17,5,309.92
2018-01-17,6,501.267
2018-01-17,7,788.795
2018-01-17,8,1120.852
2018-01-17,9,1147.824
2018-01-17,10,1344.768
2018-01-17,11,1342.733
2018-01-17,12,1297.695
2018-01-17,13,1170.47
2018-01-17,14,1304.565
2018-01-17,15,1288.789
2018-01-17,16,1297.695
2018-01-17,17,1283.446
2018-01-17,18,1347.567
2018-01-17,19,1221.36
2018-01-17,20,1221.36
2018-01-17,21,895.155
2018-01-17,22,666.659
2018-01-17,23,605.591
2018-01-17,24,381.675
2018-01-18,1,393.235
2018-01-18,2,297.844
2018-01-18,3,261.818
2018-01-18,4,253.7
2018-01-18,5,303.933
2018-01-18,6,421.396
2018-01-18,7,742.326
2018-01-18,8,1039.916
2018-01-18,9,1121.608
2018-01-18,10,1102.327
2018-01-18,11,1116.28
2018-01-18,12,1116.28
2018-01-18,13,1132.771
2018-01-18,14,1167.02
2018-01-18,15,1116.28
2018-01-18,16,1040.17
2018-01-18,17,1125.413
2018-01-18,18,1267.485
2018-01-18,19,1090.91
2018-01-18,20,1065.794
2018-01-18,21,989.43
2018-01-18,22,866.132
2018-01-18,23,835.688
2018-01-18,24,705.286
2018-01-19,1,710.006
2018-01-19,2,672.878
2018-01-19,3,654.568
2018-01-19,4,635.496
2018-01-19,5,673.895
2018-01-19,6,747.133
2018-01-19,7,987.193
2018-01-19,8,1214.028
2018-01-19,9,1253.953
2018-01-19,10,1215.554
2018-01-19,11,1174.866
2018-01-19,12,1137.738
2018-01-19,13,1093.49
2018-01-19,14,1042.121
2018-01-19,15,1030.169
2018-01-19,16,1053.056
2018-01-19,17,1118.92
2018-01-19,18,1246.07
2018-01-19,19,1271.5
2018-01-19,20,1210.977
2018-01-19,21,1080.775
2018-01-19,22,956.677
2018-01-19,23,928.195
2018-01-19,24,825.966
2018-01-20,1,765.443
2018-01-20,2,712.294
2018-01-20,3,712.04
2018-01-20,4,663.977
2018-01-20,5,635.75
2018-01-20,6,660.163
2018-01-20,7,700.851
2018-01-20,8,722.212
2018-01-20,9,872.249
2018-01-20,10,956.168
2018-01-20,11,989.227
2018-01-20,12,1005.502
2018-01-20,13,1004.485
2018-01-20,14,965.577
2018-01-20,15,930.738
2018-01-20,16,949.811
2018-01-20,17,1055.345
2018-01-20,18,1159.608
2018-01-20,19,1192.667
2018-01-20,20,1113.834
2018-01-20,21,1042.63
2018-01-20,22,981.344
2018-01-20,23,940.91
2018-01-20,24,864.62
2018-01-21,1,727.552
2018-01-21,2,673.132
2018-01-21,3,635.75
2018-01-21,4,612.1
2018-01-21,5,615.406
2018-01-21,6,635.496
2018-01-21,7,673.895
2018-01-21,8,734.164
2018-01-21,9,829.018
2018-01-21,10,946.759
2018-01-21,11,1017.2
2018-01-21,12,1042.63
2018-01-21,13,1030.169
2018-01-21,14,965.577
2018-01-21,15,894.882
2018-01-21,16,906.579
2018-01-21,17,984.141
2018-01-21,18,1093.49
2018-01-21,19,1107.731
2018-01-21,20,1053.056
2018-01-21,21,956.168
2018-01-21,22,844.785
2018-01-21,23,808.42
2018-01-21,24,734.927
2018-01-22,1,674.878
2018-01-22,2,530.86
2018-01-22,3,508.0
2018-01-22,4,403.86
2018-01-22,5,391.16
2018-01-22,6,559.054
2018-01-22,7,866.14
2018-01-22,8,1092.2
2018-01-22,9,1180.338
2018-01-22,10,1188.974
2018-01-22,11,1170.178
2018-01-22,12,1150.62
2018-01-22,13,1141.984
2018-01-22,14,1131.316
